label,generation,stem,commit,protocol,agentic_gate,repair_count,technical_gate,robustness,interface,scenario_passed,scenario_failed,scenario_crashed,scenario_unreached,scenario_untestable,scenario_coverage,clear_passed,clear_total,clear_score,human_passed,human_total,human_score,scenario_statuses,suite_sha256,adapter_sha256,code_sha256,judge_1,judge_2,judge_3,judge_mean,judge_stdev,code_lines,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,provider_seconds,call_count
Original PDF,pilot,expl_pdf,d703218,pilot-no-agentic-evidence-gate,False,,1.0,0.0,0.973,12,4,1,0,0,1.0,7,10,0.7,5,7,0.7142857142857143,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""FAIL"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""PASS"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""PASS"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""PASS"", ""EXPL-R17-cat-pair-action-is-executable"": ""CRASH""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,f653018b71b021c1541f80717b170ec945881e85c584a992d6eadecfeef71d90,0.58,0.58,0.54,0.5666666666666667,0.023094010767584987,610,724501,577280,28225,16803,846.358,4
Original PDF,r2,expl_pdf_r2,1cd9a33,agentic-v2,True,0,1.0,1.0,1.0,15,2,0,0,0,1.0,9,10,0.9,6,7,0.8571428571428571,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""PASS"", ""EXPL-R14-favor-cannot-target-empty-player"": ""PASS"", ""EXPL-R15-pair-cannot-target-empty-player"": ""PASS"", ""EXPL-R16-triple-may-request-held-kitten"": ""PASS"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,8ca6531a42da041a56005d05d33fa4ac72a8fe8c02a4114bf9ad5d88a1c23491,0.76,0.78,0.74,0.76,0.020000000000000018,386,651429,504832,24531,12649,770.376,4
Faithful TXT,pilot,expl_txt,8a0a89e,pilot-no-agentic-evidence-gate,False,,1.0,1.0,1.0,14,3,0,0,0,1.0,10,10,1.0,4,7,0.5714285714285714,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""PASS"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""PASS"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""PASS"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,f48ddead493c47c0b6fa8f247b3ee84197f74cdc8574cc489249dfbca7ce4344,0.74,0.78,0.8,0.7733333333333333,0.03055050463303896,656,474826,366848,23728,12727,663.131,4
Faithful TXT,r2,expl_txt_r2,cde02b6,agentic-v2,True,0,1.0,1.0,1.0,11,6,0,0,0,1.0,8,10,0.8,3,7,0.42857142857142855,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""FAIL"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""FAIL"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""PASS"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""PASS"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,365b5daa58f5ea073c09800a3a3caa7796b4a2fae30e29193dad54a0b1b7ad91,0.76,0.72,0.6,0.6933333333333334,0.08326663997864532,365,582529,462848,24304,12957,761.701,4
Anonymized,pilot,expl_anon,fd10842,pilot-no-agentic-evidence-gate,False,,1.0,1.0,1.0,13,4,0,0,0,1.0,10,10,1.0,3,7,0.42857142857142855,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""PASS"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""PASS"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""FAIL"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,a722b0e2f4cfef9748bb0c55ab44ef1dd3c3cec2823365c927415808750df932,0.77,0.7,0.79,0.7533333333333333,0.04725815626252613,692,613405,469504,35583,11501,854.182,4
Anonymized,r2,expl_anon_r2,3763af7,agentic-v2,True,0,1.0,1.0,1.0,11,6,0,0,0,1.0,10,10,1.0,1,7,0.14285714285714285,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""FAIL"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""PASS"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""FAIL"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""FAIL"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,0b0b831568a2a85521edf428ff9ffd2cd1b9dedaf15e3b14ba60c94509f42484,0.88,0.88,0.91,0.89,0.017320508075688787,333,586569,488960,23978,13214,727.923,4
Omissions,pilot,expl_omit,6b64b25,pilot-no-agentic-evidence-gate,False,,1.0,1.0,1.0,13,4,0,0,0,1.0,9,10,0.9,4,7,0.5714285714285714,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""FAIL"", ""EXPL-R14-favor-cannot-target-empty-player"": ""PASS"", ""EXPL-R15-pair-cannot-target-empty-player"": ""PASS"", ""EXPL-R16-triple-may-request-held-kitten"": ""FAIL"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,648e958e6e1e67045349527b9d71b613fc0aa9da01ba840bd2738b8707d3f4a4,0.72,0.72,0.74,0.7266666666666667,0.011547005383792526,508,387212,294656,23142,10887,598.478,4
Omissions,r2,expl_omit_r2,46f7014,agentic-v2,True,0,1.0,1.0,1.0,11,6,0,0,0,1.0,9,10,0.9,2,7,0.2857142857142857,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""PASS"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""FAIL"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""FAIL"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,679c1b5712124103798f10e3f3e28518ea3a24832cd1c784cfb7c8ae8ee5385d,0.64,0.66,0.64,0.6466666666666667,0.011547005383792526,360,493281,387840,23222,11792,740.826,5
False rules,pilot,expl_error,adbd388,pilot-no-agentic-evidence-gate,False,,1.0,1.0,1.0,8,9,0,0,0,1.0,8,10,0.8,0,7,0.0,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""FAIL"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""FAIL"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""FAIL"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""FAIL"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""PASS"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""FAIL"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""FAIL"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,b4dc169f941685f6e3c296bd9d0a625aab88c87d04058f8e56be600e628f6f04,0.42,0.52,0.5,0.48,0.05291502622129183,555,377248,269312,32145,13681,1000.666,4
False rules,r2,expl_error_r2,bc37dca,agentic-v2,True,0,1.0,1.0,1.0,11,6,0,0,0,1.0,8,10,0.8,3,7,0.42857142857142855,"{""EXPL-R01-two-player-start"": ""PASS"", ""EXPL-R02-normal-turn-can-end-by-drawing"": ""PASS"", ""EXPL-R03-attack-gives-next-player-two-turns"": ""PASS"", ""EXPL-R04-two-skips-consume-two-owed-turns"": ""FAIL"", ""EXPL-R05-preview-keeps-current-turn"": ""PASS"", ""EXPL-R06-shuffle-keeps-current-turn"": ""PASS"", ""EXPL-R07-favor-resolves-and-keeps-current-turn"": ""PASS"", ""EXPL-R08-last-survivor-wins"": ""PASS"", ""EXPL-R09-chained-attack-replaces-debt-with-two"": ""PASS"", ""EXPL-R10-defuse-is-mandatory-when-held"": ""FAIL"", ""EXPL-R11-defuse-consumes-only-one-owed-turn"": ""PASS"", ""EXPL-R12-five-card-combo-may-retrieve-component"": ""FAIL"", ""EXPL-R13-discard-kitten-retrieval-is-safe"": ""FAIL"", ""EXPL-R14-favor-cannot-target-empty-player"": ""FAIL"", ""EXPL-R15-pair-cannot-target-empty-player"": ""FAIL"", ""EXPL-R16-triple-may-request-held-kitten"": ""PASS"", ""EXPL-R17-cat-pair-action-is-executable"": ""PASS""}",9e75b7c56a92ccbb957b347013916fc925ed1c7c1de9b3d4878bbe6408eea938,7898089131be1a72a75c2348be033887916ef05cab17487f3a2c75b080d47788,6821b995e7a1cf5e364fc484ae5ceff57e164a7ecc70ae75fd3218ad39ceb100,0.58,0.55,0.52,0.55,0.02999999999999997,337,489627,394752,22520,11269,742.985,4
